nm_Band,Panchromatic,Coastal Blue,Blue,Green,Yellow,Red,Red Edge,NIR1,NIR2
514,0.6008495,8.4939708E-07,0.068529709,0.70096184,1.4330842E-07,1.7910822E-07,2.1187937E-07,1.2869787E-07,4.4313928E-07
515,0.59541384,9.3924013E-07,0.050368437,0.72300742,1.3593487E-07,2.450711E-07,1.2782991E-07,2.9012408E-07,8.0217456E-07
516,0.60237964,1.0315164E-06,0.032106602,0.74516569,1.2754548E-07,3.1139411E-07,4.2962713E-08,4.5146232E-07,1.1631764E-06
517,0.60849748,1.0875212E-06,0.022842873,0.75506552,2.2909929E-07,2.5938701E-07,8.2938678E-08,4.0430928E-07,9.8087345E-07
518,0.61551836,1.1456196E-06,0.013555038,0.76498656,3.318907E-07,2.0635435E-07,1.2319486E-07,3.5605638E-07,7.9809307E-07
519,0.62309397,1.06537E-06,0.0096586799,0.77216944,2.3511764E-07,1.9906198E-07,1.5299035E-07,3.3383978E-07,6.2464879E-07
520,0.630712,9.8452247E-07,0.0057341091,0.77938902,1.3862708E-07,1.9081744E-07,1.8299721E-07,3.1145691E-07,4.482596E-07
521,0.63775191,8.0516583E-07,0.0045137381,0.78240309,1.43512E-07,2.1137657E-07,1.4815117E-07,3.7327482E-07,3.5718254E-07
522,0.64478343,6.2588128E-07,0.0032938656,0.78540934,1.4839358E-07,2.3192493E-07,1.1242693E-07,4.3506249E-07,2.6614252E-07
523,0.65352167,8.6413093E-07,0.0026531826,0.79221241,3.388732E-07,1.8041985E-07,1.0911897E-07,3.6227331E-07,2.1950334E-07
524,0.66229554,1.1054934E-06,0.0020094003,0.79904049,5.302638E-07,1.2866583E-07,1.0579407E-07,2.8814447E-07,1.7263819E-07
525,0.67154084,8.993634E-07,0.0016559537,0.80684987,3.5707537E-07,1.144632E-07,1.1225982E-07,1.799011E-07,2.1701096E-07
526,0.66725104,6.9054503E-07,0.0013013006,0.81468042,1.8230724E-07,1.0021173E-07,1.1874673E-07,7.1586995E-08,2.6153259E-07
